name,point_name,pos_x,pos_y
베어드홀,1,447,449
숭덕경상관,2,237,528
문화관,3,236,618
안익태기념관,4,414,675
형남공학관,5,530,542
교육관,6,351,297
백마관,7,288,336
한경직기념관,8,643,442
신양관,9,599,326
벤처중소기업센터,10,440,255
진리관,11,490,316
조만식기념관,12,522,225
한국기독교박물관,13,593,482
중앙도서관,14,649,275
연구관,15,755,202
창신관,16,825,200
글로벌브레인홀,17,868,132
레지던스홀,18,980,183
전산관,19,835,262
미래관,20,780,300
정보과학관,21,1055,393
웨스트민스터홀,22,595,255
학생회관,23,435,349
창의관,24,1000,450
대운동장,25,320,435
정문,A,315,740
중문,B,615,575
남문,C,892,395
북문,D,216,442
조만식기념관 지하주차장진입로,E,473,225
